date,Close,High,Low,Open,Volume,news_count,avg_sentiment,max_sentiment,min_sentiment,high_impact_count,medium_impact_count,negative_count,daily_return,price_range,Target
2024-06-12,211.2401428222656,218.30889945026047,205.1231180281253,205.58908283581823,198134300,28.0,0.1398,0.7088,-0.7184,7.0,11.0,4.0,2.857831075013184,13.185781422135165,212.40011596679688
2024-06-13,212.40011596679688,214.8885546834631,209.7827888470424,212.8958219752939,97862700,28.0,0.1398,0.7088,-0.7184,7.0,11.0,4.0,0.5491253362327253,5.105765836420687,210.66514587402344
2024-06-14,210.66514587402344,213.3221228300664,209.48536314811372,212.0134668282421,70122700,28.0,0.1398,0.7088,-0.7184,7.0,11.0,4.0,-0.8168404639876226,3.8367596819526852,214.80923461914065
2024-06-17,214.80923461914065,217.0696527520261,210.89316027395952,211.5375720180444,93728300,84.0,0.4194,0.7088,-0.7184,21.0,33.0,12.0,1.9671449341674085,6.176492478066564,212.4496612548828
2024-06-18,212.4496612548828,216.75240063817128,211.1707464886947,215.72132373307372,79943300,28.0,0.1398,0.7088,-0.7184,7.0,11.0,4.0,-1.0984506175637176,5.581654149476577,207.8792266845703
2024-06-20,207.8792266845703,212.4000773678065,207.0563681724187,212.0927269910851,86172500,56.0,0.2796,0.7088,-0.7184,14.0,22.0,8.0,-2.151302357140128,5.343709195387788,205.7080841064453
2024-06-21,205.7080841064453,210.0702909143085,205.33134270047415,208.58317289420788,241805100,28.0,0.1398,0.7088,-0.7184,7.0,11.0,4.0,-1.044424983078962,4.738948213834334,206.35247802734372
2024-06-24,206.35247802734372,210.87331399723783,204.8157865138524,205.93608683303725,80727000,84.0,0.4194,0.7088,-0.7184,21.0,33.0,12.0,0.31325648853204324,6.057527483385428,207.2745056152344
2024-06-25,207.2745056152344,209.5646648210329,206.81844945769743,207.3538052595708,55549700,28.0,0.1398,0.7088,-0.7184,7.0,11.0,4.0,0.4468216697492311,2.746215363335466,211.41860961914065
2024-06-26,211.41860961914065,213.0147835489249,208.83102368645305,209.68363861405976,66213200,28.0,0.1398,0.7088,-0.7184,7.0,11.0,4.0,1.9993312692295095,4.183759862471845,212.2613067626953
2024-06-27,212.2613067626953,213.88722177256452,210.5263358320774,212.8462361886446,49772700,28.0,0.1398,0.7088,-0.7184,7.0,11.0,4.0,0.3985917536174943,3.3608859404871225,208.8112030029297
2024-06-28,208.8112030029297,214.21441082608845,208.49395901051295,213.9169841828714,82542700,28.0,0.1398,0.7088,-0.7184,7.0,11.0,4.0,-1.6254039949084031,5.720451815575501,214.8885498046875
2024-07-01,214.8885498046875,215.6420174745076,210.100028055994,210.26856627972688,60402900,143.0,0.4348,0.8633,-0.9118,31.0,58.0,19.0,2.9104505478437126,5.541989418513623,218.37831115722656
2024-07-02,218.37831115722656,218.4873670751859,213.2527132686293,214.2936836981781,58046200,72.0,0.0812,0.7269,-0.7579,11.0,28.0,12.0,1.6239866459664354,5.234653806556594,219.64732360839844
2024-07-03,219.64732360839844,219.64732360839844,217.1489612238199,218.1106320389385,37369800,94.0,0.068,0.8091,-0.7351,10.0,36.0,14.0,0.5811073656752486,2.4983623845785417,224.3961944580078
2024-07-05,224.3961944580078,224.50525038603783,219.74646963306245,219.74646963306245,60412400,180.0,0.29259999999999997,0.8689,-0.8658,28.0,76.0,26.0,2.162043575853434,4.758780752975383,225.8634796142578
2024-07-08,225.8634796142578,225.89322076278884,221.3327197032473,225.13973799267995,59085900,133.0,0.2063,0.8402,-0.891,17.0,50.0,21.0,0.6538814794938785,4.5605010595415365,226.716064453125
2024-07-09,226.716064453125,227.42988222637769,224.4259054004998,225.9725055332989,48076100,89.0,0.1412,0.802,-0.875,21.0,35.0,12.0,0.3774779527541572,3.003976825877885,230.9791717529297
2024-07-10,230.9791717529297,231.07831900756045,227.28120909695772,227.33078272427315,62627700,94.0,0.0748,0.8519,-0.743,21.0,33.0,18.0,1.8803728399608532,3.797109910602728,225.61561584472656
2024-07-11,225.61561584472656,230.39421338925845,223.83107137940016,229.40280147827104,64710600,95.0,0.0883,0.7964,-0.926,18.0,35.0,18.0,-2.3220950475743907,6.563142009858296,228.56008911132807
2024-07-12,228.56008911132807,230.64206011910093,226.7160624017349,226.9540066999144,53046500,57.0,0.1181,0.8221,-0.6114,11.0,18.0,9.0,1.3050839834721106,3.9259977173660445,232.386962890625
2024-07-15,232.386962890625,235.1926606193721,231.0882156126273,234.44910163171727,62631300,171.0,0.3543,0.8221,-0.6114,33.0,54.0,27.0,1.6743403426977777,4.104445006744811,232.8033599853516
2024-07-16,232.8033599853516,234.24090427881208,230.33473879844303,232.98180687397965,43234300,57.0,0.1181,0.8221,-0.6114,11.0,18.0,9.0,0.1791826398293228,3.9061654803690544,226.9143829345703
2024-07-17,226.9143829345703,229.47222770464356,224.6936146131452,227.4794799069808,57345900,57.0,0.1181,0.8221,-0.6114,11.0,18.0,9.0,-2.5295928079181573,4.778613091498357,222.2547149658203
2024-07-18,222.2547149658203,228.46096321097224,220.36112971273343,228.3023336745397,66034600,57.0,0.1181,0.8221,-0.6114,11.0,18.0,9.0,-2.0534916775608703,8.099833498238809,222.38360595703125
2024-07-19,222.38360595703125,224.8522270905052,221.3624528868853,222.88923571935769,49151500,57.0,0.1181,0.8221,-0.6114,11.0,18.0,9.0,0.057992466540368603,3.489774203619902,222.03663635253903
2024-07-22,222.03663635253903,225.82382229500527,221.17409763275572,225.06043082550624,48201800,171.0,0.3543,0.8221,-0.6114,33.0,54.0,27.0,-0.1560230139263319,4.649724662249554,223.07757568359372
2024-07-23,223.07757568359372,224.9910084270489,220.76758424988336,222.4430727025388,39960300,57.0,0.1181,0.8221,-0.6114,11.0,18.0,9.0,0.468814222803271,4.223424177165555,216.6631774902344
2024-07-24,216.6631774902344,222.86942645430565,215.2652980307627,222.07629380801336,61777600,57.0,0.1181,0.8221,-0.6114,11.0,18.0,9.0,-2.8754114678282594,7.60412842354296,215.62217712402344
2024-07-25,215.62217712402344,218.95332167523745,212.77681471652627,217.0497975364767,51391200,57.0,0.1181,0.8221,-0.6114,11.0,18.0,9.0,-0.48046944490965915,6.1765069587111725,216.08816528320312
2024-07-26,216.08816528320312,217.60502442671483,214.15489978899527,216.82180047841348,41601300,57.0,0.1181,0.8221,-0.6114,11.0,18.0,9.0,0.21611327990240792,3.4501246377195685,216.36573791503903
