date,news_count,avg_sentiment,max_sentiment,min_sentiment,high_impact_count,medium_impact_count,negative_count
2018-07-08,20,-0.0444,0.7351,-0.7717,6,9,8
2018-07-09,69,0.0274,0.7865,-0.8316,20,21,17
2018-07-10,32,0.1718,0.6486,-0.7964,8,16,5
2018-07-11,50,-0.0159,0.7906,-0.8126,19,16,17
2018-07-12,122,0.072,0.7865,-0.8225,36,61,36
2018-07-13,84,0.185,0.8689,-0.9053,24,37,12
2018-07-14,23,-0.1309,0.5267,-0.9062,8,9,10
2018-07-15,4,0.198,0.3182,0.0,0,3,0
2018-07-16,51,0.0691,0.6037,-0.5994,6,22,10
2018-07-17,73,0.0743,0.7783,-0.8126,7,29,9
2018-07-18,66,0.0438,0.7269,-0.7264,15,21,14
2018-07-19,54,0.0171,0.5994,-0.8316,9,27,14
2018-07-20,65,0.0694,0.7184,-0.7579,8,35,15
2018-07-21,11,-0.0904,0.34,-0.6908,2,4,4
2018-07-22,22,-0.0418,0.765,-0.765,3,8,7
2018-07-23,59,0.0677,0.765,-0.9169,20,23,16
2018-07-24,58,-0.0019,0.802,-0.8074,14,21,17
2018-07-25,57,0.1327,0.7876,-0.6705,17,15,10
2018-07-26,56,0.1606,0.8225,-0.5994,10,30,10
2018-07-27,44,0.1634,0.743,-0.6486,10,19,7
2018-07-28,13,0.2015,0.8225,-0.7003,4,5,2
2018-07-29,21,0.0106,0.7351,-0.6369,5,7,6
2018-07-30,39,0.0995,0.6705,-0.7003,7,20,9
2018-07-31,44,0.0471,0.743,-0.8126,9,20,10
2018-08-01,113,-0.0088,0.7096,-0.8641,17,37,26
2018-08-02,60,0.0182,0.7351,-0.8225,10,31,19
2018-08-03,50,0.0687,0.784,-0.7003,8,24,12
2018-08-04,9,-0.1194,0.7096,-0.5994,5,4,5
2018-08-05,22,-0.0353,0.5994,-0.7964,7,11,9
2018-08-06,52,0.0958,0.7339,-0.7964,13,24,12
2018-08-07,63,0.0428,0.6249,-0.765,10,30,16
2018-08-08,45,0.1608,0.743,-0.6705,14,17,10
2018-08-09,40,0.1525,0.8126,-0.7964,9,15,6
2018-08-10,44,0.0754,0.7579,-0.7579,10,20,10
2018-08-11,9,0.0337,0.6808,-0.6705,2,6,4
2018-08-12,15,-0.1208,0.4404,-0.765,4,6,6
2018-08-13,59,-0.0594,0.8126,-0.872,18,26,21
2018-08-14,79,0.0496,0.6908,-0.8834,15,39,21
2018-08-15,27,0.0986,0.8122,-0.872,8,7,5
2018-08-16,62,-0.0522,0.6956,-0.8271,15,35,27
